what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1469260288458
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1469260291827
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1469260817031
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1469260817633
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1469261202846
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1469261205896
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1469261215443
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1469261222329
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1469261712559
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1469261781958
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1469261814765
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1469261818896
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1469261820048
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1469267107547
activated,perspective,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.JavaPerspective",1469267111531
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1469267114337
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1469267137373
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1469267160793
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1469267167840
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1469267186567
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1469267186986
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1469267187142
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1469267191060
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1469267195725
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1469267197338
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1469267198686
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1469267211259
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1469267219498
